StreamChunk(delta='已', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='根据', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='本地', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='知识库', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='记录', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='，', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='为您', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='整理', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='详细信息', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='如下', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='：', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='\n\n🏢', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta=' **', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='企业名称', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='**', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='：', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='吉', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='奥', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='环', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='朋', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='科技', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='（', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='扬州', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='）', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='有限公司', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='  \n📅', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta=' **', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='成立时间', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='**', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='：', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='2', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='0', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='2', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='1', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='年', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='7', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='月', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='1', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='5', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='日', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='  \n💰', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta=' **', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='注册资本', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='**', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='：', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='1', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='.', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='2', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='2', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='5', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='亿元人民币', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='  \n📍', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta=' **', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='企业地址', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='**', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='：', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='江苏省', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='扬州市', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='仪', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='征', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='市', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='  \n🔗', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta=' **', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='所属', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='集团', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='**', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='：', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='枫', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='创', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='环保', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='旗下', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='企业', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='  \n🔋', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta=' **', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='主营业务', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='**', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='：', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='\n-', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta=' 危险废物', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='处理', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='\n-', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta=' 新能源', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='动力', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='锂电池', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='回收', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='（', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='年', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='回收', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='处理能力', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='达', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='3', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='万吨', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='）', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='\n\n该', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='司', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='目前', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='主要', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='聚焦', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='于', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='新能源', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='电池', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='梯', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='次', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='利用', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='与', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='规范化', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='回收', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='处置', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='领域', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='。', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='如需', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='查询', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='其', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='最新', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='工商', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='状态', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='、', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='招聘信息', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='、', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='招投标', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='动态', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='或', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='具体', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='业务', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='联系方式', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='，', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='请', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='随时', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='告诉我', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='，', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='我将', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='为您', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='进一步', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='检索', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='或', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='生成', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='相关', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='报告', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='。', done=False, reasoning='', tool_calls=None, error='', usage=None)
StreamChunk(delta='', done=True, reasoning='', tool_calls=None, error='', usage=None)
